,ISBN,Titolo,Autori
0,9788838664182,Principi di ingegneria del software , Roger S. Pressman ; edizione italiana a cura di Maura Cerioli e Gianna Reggio.
1,9780691171692,Bitcoin and cryptocurrency technologies : a comprehensive introduction , Arvind Narayanan ... [et al.].
